ticker,name,sector,industry,mcap,exch
PLTR,Palantir Technologies Inc. Class A,Information Technology,Application Software,303955181568.0,NMS
PLUS,ePlus inc.,Technology,Software - Application,2365565184.0,NMS
PLUS.L,Plus500 Ltd.,Financial Services,Capital Markets,4022599877.0,LSE
PLXS,Plexus Corp.,Information Technology,Electronic Manufacturing Services,7151187968.0,NMS
PM,Philip Morris International Inc,Consumer Staples,Tobacco,283065450496.0,NYQ
PML,Pimco Municipal Income Fund II Common Shares of Beneficial Interest,Finance,Investment Managers,0.0,
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest,Real Estate,Mortgage REITs,896440281.0,
PNC,PNC Financial Services Group Inc. (The),Financials,Diversified Banks,101158150144.0,NYQ
PNFP,Pinnacle Financial Partners Inc. Common stock,Financials,Regional Banks,15181702144.0,NYQ
PNL.L,Personal Assets Ord,,,2249328207.0,LSE
PNN.L,Pennon Group Plc,Utilities,Utilities - Regulated Water,3099554388.0,LSE
PNR,Pentair plc. Ordinary Share,Industrials,Industrial Machinery & Supplies & Components,12312726528.0,NYQ
PNW,Pinnacle West Capital Corporati,Utilities,Utilities - Regulated Electric,13102756864.0,NYQ
PODD,Insulet Corporation,Health Care,Health Care Equipment,11171006464.0,NMS
POLN.L,Pollen Street Group Limited,Financial Services,Asset Management,693551056.0,LSE
POOL,Pool Corporation,Consumer Discretionary,Distributors,7669065728.0,NMS
POR,Portland General Electric Co,Utilities,Electric Utilities,6108229632.0,NYQ
POST,Post Holdings Inc.,Consumer Staples,Packaged Foods & Meats,3910432512.0,NYQ
POW.TO,Power Corporation of Canada,Financial Services,Insurance - Life,41087423108.0,TSX
POWI,Power Integrations Inc.,Information Technology,Semiconductors,4015739136.0,NMS
POWL,Powell Industries Inc.,Industrials,Electrical Components & Equipment,8459064320.0,NMS
PPC,Pilgrim's Pride Corporation,Consumer Staples,Packaged Foods & Meats,6721294848.0,NMS
PPET.L,Patria Private Equity Trust,,,1237179962.0,LSE
PPG,PPG Industries Inc.,Materials,Specialty Chemicals,26025803776.0,NYQ
PPH.L,PPHE Hotel Group Limited,Consumer Cyclical,Lodging,902125662.0,LSE
PPL,PPL Corporation,Utilities,Electric Utilities,26919094272.0,NYQ
PPL.TO,Pembina Pipeline Corporation,Energy,Oil & Gas Midstream,29678395184.0,TSX
PPLI,People Incorporated,Communication Services,Internet Content & Information,3459018496.0,NMS
